original_genome_id	old_speceis_names	speceis_names_fig2
yHMPu5000035041_ambrosiozyma_pseudovanderkliftii_160519	yHMPu5000035041_Ambrosiozyma_pseudovanderkliftii	Ambrosiozyma_pseudovanderkliftii
yHMPu5000026145_ambrosiozyma_vanderkliftii_160519	yHMPu5000026145_Ambrosiozyma_vanderkliftii	Ambrosiozyma_vanderkliftii
yHMPu5000034673_blastobotrys_nivea_160519	yHMPu5000034673_Blastobotrys_nivea	Blastobotrys_nivea
nadsonia_fulvescens_var_elongata	Nadsonia_fulvescens_var_elongata	Nadsonia_fulvescens_var._elongata
yHMPu5000034635_nadsonia_fulvescens_160519	yHMPu5000034635_Nadsonia_fulvescens	Nadsonia_fulvescens_var._fulvescens
candida_infanticola	Candida_infanticola	Wickerhamiella_infanticola
candida_versatilis	Candida_versatilis	Wickerhamiella_versatilis
yHMPu5000035633_candida_hispaniensis_160519	yHMPu5000035633_Candida_hispaniensis	Candida_hispaniensis
candida_apicola	Candida_apicola	Starmerella_apicola
yHMPu5000041822_dipodascus_geniculatus_160928	yHMPu5000041822_Dipodascus_geniculatus	Dipodascus_geniculatus
yHMPu5000034661_dipodascus_albidus_160519	yHMPu5000034661_Dipodascus_albidus	Dipodascus_albidus
geotrichum_candidum	Geotrichum_candidum	Geotrichum_candidum
yHMPu5000041818_magnusiomyces_tetrasperma_160928	yHMPu5000041818_Magnusiomyces_tetrasperma	Magnusiomyces_tetraspermus
sporopachydermia_quercuum	Sporopachydermia_quercuum	Sporopachydermia_quercuum
starmerella_bombicola_JCM9596	Starmerella_bombicola_JCM9596	Starmerella_bombicola
yarrowia_lipolytica	Yarrowia_lipolytica	Yarrowia_lipolytica
yarrowia_keelungensis	Yarrowia_keelungensis	Yarrowia_keelungensis
yarrowia_deformans	Yarrowia_deformans	Yarrowia_deformans
arxula_adeninivorans	Arxula_adeninivorans	Blastobotrys_adeninivorans
yHMPu5000034669_blastobotrys_raffinofermentans_160519	yHMPu5000034669_Blastobotrys_raffinofermentans	Blastobotrys_raffinosifermentans
yHMPu5000034681_blastobotrys_americana_160519	yHMPu5000034681_Blastobotrys_americana	Blastobotrys_americana
yHMPu5000034660_diddensiella_caesifluorescens_160519	yHMPu5000034660_Diddensiella_caesifluorescens	Diddensiella_caesifluorescens
yHMPu5000034605_spencermartinsiella_europaea_160519	yHMPu5000034605_Spencermartinsiella_europaea	Spencermartinsiella_europaea
sugiyamaella_lignohabitans	Sugiyamaella_lignohabitans	Sugiyamaella_lignohabitans
wickerhamiella_domercqiae	Wickerhamiella_domercqiae	Wickerhamiella_domercqiae
yHMPu5000034646_wickerhamiella_cacticola_160519	yHMPu5000034646_Wickerhamiella_cacticola	Wickerhamiella_cacticola
yHMPu5000035242_zygoascus_ofunaensis_160928	yHMPu5000035242_Zygoascus_ofunaensis	Zygoascus_ofunaensis
yHMPu5000035243_zygoascus_meyerae_160928	yHMPu5000035243_Zygoascus_meyerae	Zygoascus_meyerae
yHMPu5000034604_sporopachydermia_lactativora_160519	yHMPu5000034604_Sporopachydermia_lactativora	Sporopachydermia_lactativora
yHMPu5000035286_candida_azyma_160928	yHMPu5000035286_Candida_azyma	Wickerhamomyces_sp._YB_2243
yHMPu5000035643_yarrowia_bubula_160519	yHMPu5000035643_Yarrowia_bubula	Yarrowia_bubula
yHMPu5000035645_yarrowia_divulgata_160519	yHMPu5000035645_Yarrowia_divulgata	Yarrowia_divulgata
yHMPu5000034675_blastobotrys_mokoenaii_160519	yHMPu5000034675_Blastobotrys_mokoenaii	Blastobotrys_mokoenaii
yHMPu5000034674_blastobotrys_muscicola_160519	yHMPu5000034674_Blastobotrys_muscicola	Blastobotrys_muscicola
yHMPu5000034667_blastobotrys_serpentis_160519	yHMPu5000034667_Blastobotrys_serpentis	Blastobotrys_serpentis
