original_genome_id	old_speceis_names	speceis_names_fig2
yHMPu5000041713_debaryomyces_maramus_160928	yHMPu5000041713_Debaryomyces_maramus	Debaryomyces_maramus
yHMPu5000041693_debaryomyces_nepalensis_160928	yHMPu5000041693_Debaryomyces_nepalensis	Debaryomyces_nepalensis
yHMPu5000041829_debaryomyces_fabryi_160928	yHMPu5000041829_Debaryomyces_fabryi	Debaryomyces_fabryi
hyphopichia_burtonii	Hyphopichia_burtonii	Hyphopichia_burtonii
yHMPu5000035318_hyphopichia_heimii_160928	yHMPu5000035318_Hyphopichia_heimii	Hyphopichia_heimii
yHMPu5000035667_kurtzmaniella_cleridarum_160928	yHMPu5000035667_Kurtzmaniella_cleridarum	Kurtzmaniella_cleridarum
lodderomyces_elongisporus	Lodderomyces_elongisporus	Lodderomyces_elongisporus
meyerozyma_guilliermondii	Meyerozyma_guilliermondii	Meyerozyma_guilliermondii
yHMPu5000035665_middelhovenomyces_tepae_160613	yHMPu5000035665_Middelhovenomyces_tepae	Middelhovenomyces_tepae
millerozyma_acaciae	Millerozyma_acaciae	Millerozyma_acaciae
yHMPu5000034883_peterozyma_xylosa_160519	yHMPu5000034883_Peterozyma_xylosa	Peterozyma_xylosa
yHMPu5000034884_peterozyma_toletana_160519	yHMPu5000034884_Peterozyma_toletana	Peterozyma_toletana
priceomyces_haplophilus	Priceomyces_haplophilus	Priceomyces_haplophilus
yHMPu5000034606_priceomyces_medius_160519	yHMPu5000034606_Priceomyces_medius	Priceomyces_medius
yHMPu5000035296_priceomyces_carsonii_160928	yHMPu5000035296_Priceomyces_carsonii	Priceomyces_carsonii
scheffersomyces_lignosus	Scheffersomyces_lignosus	Scheffersomyces_lignosus
scheffersomyces_stipitis	Scheffersomyces_stipitis	Scheffersomyces_stipitis
spathaspora_passalidarum	Spathaspora_passalidarum	Spathaspora_passalidarum
spathaspora_arborariae	Spathaspora_arborariae	Spathaspora_arborariae
wickerhamia_fluorescens	Wickerhamia_fluorescens	Wickerhamia_fluorescens
yHMPu5000035641_yamadazyma_scolyti_160613	yHMPu5000035641_Yamadazyma_scolyti	Yamadazyma_scolyti
yHMPu5000035640_yamadazyma_philogaea_160519	yHMPu5000035640_Yamadazyma_philogaea	Yamadazyma_philogaea
yHMPu5000035252_yamadazyma_nakazawae_160928	yHMPu5000035252_Yamadazyma_nakazawae	Yamadazyma_nakazawae
yHMPu5000034654_aciculoconidium_aculeatum_160519	yHMPu5000034654_Aciculoconidium_aculeatum	Aciculoconidium_aculeatum
candida_intermedia	Candida_intermedia	Candida_intermedia
yHMPu5000034986_candida_oregonensis_160519	yHMPu5000034986_Candida_oregonensis	Candida_oregonensis
yHMPu5000034648_candida_restingae_160519	yHMPu5000034648_Candida_restingae	Candida_restingae
candida_auris	Candida_auris	Candida_auris
yHMPu5000034988_candida_fructus_160519	yHMPu5000034988_Candida_fructus	Candida_fructus
yHMPu5000034973_danielozyma_ontarioensis_160519	yHMPu5000034973_Danielozyma_ontarioensis	Danielozyma_ontarioensis
yHMPu5000034665_kodamaea_laetipori_160519	yHMPu5000034665_Kodamaea_laetipori	Kodamaea_laetipori
yHMPu5000035677_kodamaea_ohmeri_160519	yHMPu5000035677_Kodamaea_ohmeri	Kodamaea_ohmeri
metschnikowia_bicuspidata	Metschnikowia_bicuspidata	Metschnikowia_bicuspidata_var._bicuspidata
metschnikowia_hibisci	Metschnikowia_hibisci	Metschnikowia_hibisci
metschnikowia_aberdeeniae	Metschnikowia_aberdeeniae	Metschnikowia_aberdeeniae
metschnikowia_kipukae	Metschnikowia_kipukae	Metschnikowia_kipukae
metschnikowia_shivogae	Metschnikowia_shivogae	Metschnikowia_shivogae
metschnikowia_dekortum	Metschnikowia_dekortum	Metschnikowia_dekortorum
metschnikowia_drakensbergensis	Metschnikowia_drakensbergensis	Metschnikowia_drakensbergensis
metschnikowia_kamakouana	Metschnikowia_kamakouana	Metschnikowia_kamakouana
metschnikowia_proteae	Metschnikowia_proteae	Metschnikowia_proteae
metschnikowia_mauinuiana	Metschnikowia_mauinuiana	Metschnikowia_mauinuiana
metschnikowia_matae_maris	Metschnikowia_matae_maris	Metschnikowia_matae_var._maris
metschnikowia_bowlesiae	Metschnikowia_bowlesiae	Metschnikowia_bowlesiae
metschnikowia_similis	Metschnikowia_similis	Metschnikowia_similis
metschnikowia_hawaiiensis	Metschnikowia_hawaiiensis	Metschnikowia_hawaiiensis
candida_sojae	Candida_sojae	Candida_sojae
spathaspora_girioi	Spathaspora_girioi	Spathaspora_girioi
spathaspora_hagerdaliae	Spathaspora_hagerdaliae	Spathaspora_hagerdaliae
spathaspora_gorwiae	Spathaspora_gorwiae	Spathaspora_gorwiae
metschnikowia_ipomoeae	Metschnikowia_ipomoeae	Metschnikowia_ipomoeae
metschnikowia_arizonensis	Metschnikowia_arizonensis	Metschnikowia_arizonensis
metschnikowia_matae	Metschnikowia_matae	Metschnikowia_matae_var._matae
metschnikowia_lockheadii	Metschnikowia_lockheadii	Metschnikowia_lochheadii
metschnikowia_santaceciliae	Metschnikowia_santaceciliae	Metschnikowia_santaceciliae
metschnikowia_hamakuensis	Metschnikowia_hamakuensis	Metschnikowia_hamakuensis
metschnikowia_continentalis	Metschnikowia_continentalis	Metschnikowia_continentalis
metschnikowia_cerradonensis	Metschnikowia_cerradonensis	Metschnikowia_cerradonensis
metschnikowia_borealis	Metschnikowia_borealis	Metschnikowia_borealis
yHMPu5000035662_meyerozyma_caribbica_160613	yHMPu5000035662_Meyerozyma_caribbica	Meyerozyma_caribbica
yHMPu5000035033_candida_cretensis_160519	yHMPu5000035033_Candida_cretensis	Teunomyces_cretensis
yHMPu5000041863_candida_gorgasii_160928	yHMPu5000041863_Candida_gorgasii	Candida_gorgasii
yHMPu5000035011_candida_pyralidae_160519	yHMPu5000035011_Candida_pyralidae	Suhomyces_pyralidae
yHMPu5000041833_candida_tammaniensis_160928	yHMPu5000041833_Candida_tammaniensis	Candida_tammaniensis
yHMPu5000035018_candida_canberraensis_160519	yHMPu5000035018_Candida_canberraensis	Suhomyces_canberraensis
yHMPu5000035022_candida_emberorum_160519	yHMPu5000035022_Candida_emberorum	Suhomyces_emberorum
yHMPu5000035032_candida_gatunensis_160519	yHMPu5000035032_Candida_gatunensis	Teunomyces_gatunensis
yHMPu5000034990_candida_corydali_160519	yHMPu5000034990_Candida_corydali	Candida_corydali
yHMPu5000041855_candida_ascalaphidarum_160928	yHMPu5000041855_Candida_ascalaphidarum	Candida_ascalaphidarum
yHMPu5000041840_candida_wancherniae_160928	yHMPu5000041840_Candida_wancherniae	Candida_wancherniae
yHMPu5000035707_candida_heveicola_160519	yHMPu5000035707_Candida_heveicola	Candida_heveicola
yHMPu5000035335_candida_blattae_160928	yHMPu5000035335_Candida_blattae	Candida_blattae
yHMPu5000041743_candida_hawaiiana_160928	yHMPu5000041743_Candida_hawaiiana	Candida_hawaiiana
yHMPu5000041862_candida_golubevii_160928	yHMPu5000041862_Candida_golubevii	Candida_golubevii
yHMPu5000041824_debaryomyces_subglobosus_160928	yHMPu5000041824_Debaryomyces_subglobosus	Debaryomyces_subglobosus
yHMPu5000041678_debaryomyces_prosopidis_160928	yHMPu5000041678_Debaryomyces_prosopidis	Debaryomyces_prosopidis
